lead_time,required_car_parking_spaces,total_of_special_requests,previous_cancellations,previous_bookings_not_canceled,adr,adults,children,babies,deposit_type,market_segment,distribution_channel,customer_type,hotel,arrival_date_year,arrival_date_month,arrival_date_day_of_month,is_canceled
0,0,0,0,0,123.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,2,0
14,0,1,0,0,98.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,0
10,0,0,0,0,117.81,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,0
5,1,2,0,0,135.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,0
17,0,1,0,0,133.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,2,0
93,0,0,0,0,58.95,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,2,0
3,0,2,0,0,136.33,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,1
10,1,0,0,0,153.0,2,2,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,0
3,0,0,0,0,110.5,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,0
51,0,0,0,0,97.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,0
71,0,2,0,0,110.3,3,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,3,1
63,0,2,0,0,82.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,1
62,0,1,0,0,97.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,1
101,0,1,0,0,73.8,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,1
2,0,0,0,0,91.5,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,3,0
15,0,0,0,0,114.5,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,0
51,0,0,0,0,110.3,3,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,1
3,1,0,0,0,90.9,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,0
48,0,0,0,0,123.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,1
2,0,0,0,0,122.0,1,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,0
72,1,0,0,0,110.7,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,3,0
81,0,0,0,0,85.86,3,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,3,0
99,0,0,0,0,58.95,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,3,0
368,0,0,0,0,55.68,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,3,1
364,0,0,0,0,55.68,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,3,0
81,0,1,0,0,124.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,3,1
99,0,0,0,0,111.15,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,3,0
324,0,0,0,0,134.73,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,3,0
69,0,1,0,0,92.45,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,0
79,0,2,0,0,108.73,2,1,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,3,1
12,0,0,0,0,73.8,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,0
9,1,2,0,0,98.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,0
1,0,1,0,0,131.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,0
21,0,0,0,0,123.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,0
9,0,0,0,0,94.71,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,0
109,0,2,0,0,123.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,0
109,0,1,0,0,123.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,1
72,0,1,0,0,73.8,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,1
63,0,1,0,0,117.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,1
63,0,1,0,0,196.54,3,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,3,0
101,1,2,0,0,99.3,2,1,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,3,0
102,0,0,0,0,90.95,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,3,0
4,0,1,0,0,92.67,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,4,0
98,1,0,0,0,71.55,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,4,0
92,0,2,0,0,96.49,1,2,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,4,0
95,1,2,0,0,85.8,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,0
102,0,1,0,0,96.3,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,0
26,0,0,0,0,163.0,2,2,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,1
73,0,1,0,0,172.0,3,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,4,1
102,0,1,0,0,110.7,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,1
115,0,1,0,0,58.95,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,4,0
102,0,2,0,0,73.8,2,0,1,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,0
86,0,2,0,0,97.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,0
78,0,2,0,0,139.0,2,0,1,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,0
52,0,0,0,0,67.24,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,0
29,0,1,0,0,116.5,3,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,0
101,0,1,0,0,96.3,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,1
109,0,1,0,0,123.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,0
92,0,1,0,0,71.55,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,4,0
92,0,1,0,0,71.55,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,4,0
79,0,1,0,0,149.0,2,1,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,4,0
2,1,0,0,0,163.0,2,2,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,0
30,0,0,0,0,79.5,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,4,0
51,0,0,0,0,105.0,1,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,1
36,0,0,0,0,123.0,1,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,4,1
73,0,2,0,0,73.8,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,1
33,0,0,0,0,113.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,1
32,0,1,0,0,0.0,4,0,0,No Deposit,Complementary,Direct,Transient,Resort Hotel,2015,July,4,0
8,0,0,0,0,123.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,0
100,1,1,0,0,73.8,2,0,0,No Deposit,Online TA,TA/TO,Transient-Party,Resort Hotel,2015,July,4,0
1,0,0,0,0,114.5,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,4,0
100,0,2,0,0,73.8,2,0,0,No Deposit,Online TA,TA/TO,Transient-Party,Resort Hotel,2015,July,4,0
100,0,1,0,0,73.8,2,0,0,No Deposit,Online TA,TA/TO,Transient-Party,Resort Hotel,2015,July,4,0
9,0,1,0,0,88.2,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,0
5,0,0,0,0,97.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,1
0,0,0,0,0,85.1,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,0
9,0,0,0,0,89.0,1,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,0
2,0,0,0,0,80.1,1,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,0
2,0,0,0,0,98.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,0
9,1,0,0,0,101.0,1,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,0
5,0,0,0,0,97.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,1
2,0,1,0,0,167.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,5,0
44,2,0,0,0,225.0,3,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,0
80,1,0,0,0,97.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,0
97,0,2,0,0,87.3,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,0
109,1,2,0,0,85.59,2,1,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,5,0
30,0,0,0,0,123.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,0
64,0,0,0,0,107.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,0
39,0,0,0,0,163.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,0
90,0,0,0,0,82.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,0
34,0,0,0,0,163.0,2,2,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,1
93,0,0,0,0,105.5,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,5,1
97,1,1,0,0,164.2,2,2,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,5,0
29,0,1,0,0,97.29,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,0
101,0,1,0,0,114.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,1
27,0,0,0,0,98.4,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,5,0
8,1,1,0,0,175.0,2,2,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,5,0
82,1,2,0,0,63.6,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,5,0
94,1,1,0,0,124.45,3,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,5,0
110,0,0,0,0,110.7,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,5,0
96,0,0,0,0,74.07,1,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,5,0
79,0,0,0,0,134.1,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,5,0
115,0,0,0,0,167.0,2,2,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,0
111,0,2,0,0,123.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,0
51,1,2,0,0,117.81,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,0
94,0,1,0,0,171.32,3,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,6,0
81,1,0,0,0,210.0,2,2,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,6,0
84,0,2,0,0,97.0,2,0,1,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,0
51,0,2,0,0,117.81,3,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,0
111,0,2,0,0,0.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,0
0,0,0,0,0,0.0,1,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,6,0
2,0,0,0,0,131.0,2,1,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,6,0
7,0,2,0,0,98.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,0
98,1,1,0,0,87.3,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,0
95,0,1,0,0,97.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,0
48,0,0,0,0,167.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,1
66,0,0,0,0,91.5,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,6,0
104,0,1,0,0,73.8,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,0
28,0,0,0,0,123.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,0
34,1,0,0,0,175.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,6,0
98,1,1,0,0,117.8,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,0
104,0,0,0,0,117.63,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,0
68,0,0,0,0,185.0,2,2,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,0
86,0,1,0,0,71.0,1,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,6,1
258,0,0,0,0,47.25,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,6,0
111,0,1,0,0,151.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,0
94,0,0,0,0,87.3,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,6,1
112,0,1,0,0,120.6,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,6,0
100,0,1,0,0,63.86,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,6,0
33,0,1,0,0,157.1,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,6,0
97,0,2,0,0,91.37,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,6,0
80,0,0,0,0,73.0,1,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,6,0
90,0,0,0,0,110.7,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,6,0
111,0,0,0,0,93.6,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,6,0
65,0,0,0,0,83.5,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,6,0
67,0,1,0,0,73.8,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,7,1
55,1,2,0,0,82.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,7,0
21,0,1,0,0,185.5,2,1,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,7,0
8,0,1,0,0,0.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,7,0
8,0,1,0,0,0.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,7,0
0,0,3,0,0,109.8,1,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,7,0
0,1,0,0,0,195.0,3,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,7,0
0,0,3,0,0,109.8,1,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,7,0
8,0,1,0,0,193.0,3,2,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,7,0
66,0,2,0,0,97.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,7,0
88,0,1,0,0,150.0,3,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,7,0
0,0,0,0,0,98.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,7,0
43,0,0,0,0,91.5,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,7,1
88,0,2,0,0,139.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,7,1
54,0,0,0,0,79.5,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,7,0
292,0,0,0,0,47.25,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,7,1
112,0,1,0,0,126.65,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,7,0
68,0,1,0,0,107.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,8,0
7,1,2,0,0,131.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,8,0
1,1,1,0,0,131.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,8,0
113,0,1,0,0,123.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,8,1
5,0,1,0,0,146.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,8,0
83,0,1,0,0,110.7,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,8,0
105,0,1,0,0,73.8,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,8,1
0,0,0,0,0,61.0,1,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,8,0
1,0,1,0,0,104.72,2,0,0,No Deposit,Corporate,Corporate,Transient,Resort Hotel,2015,July,8,1
1,0,1,0,0,104.72,2,0,0,No Deposit,Corporate,Corporate,Transient,Resort Hotel,2015,July,8,1
1,1,1,0,0,104.72,2,0,0,No Deposit,Corporate,Corporate,Transient,Resort Hotel,2015,July,8,0
102,0,1,0,0,66.42,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,8,1
113,1,1,0,0,77.96,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,8,0
280,0,1,0,0,112.0,2,1,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,8,1
96,0,1,0,0,107.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,8,0
394,0,0,0,0,89.68,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,8,0
33,0,0,0,0,155.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,8,0
82,0,1,0,0,112.0,3,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,8,0
100,0,3,0,0,130.1,3,0,0,No Deposit,Online TA,TA/TO,Transient-Party,Resort Hotel,2015,July,8,0
100,0,2,0,0,100.1,2,0,0,No Deposit,Online TA,TA/TO,Transient-Party,Resort Hotel,2015,July,8,0
17,0,3,0,0,123.0,2,2,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,9,0
68,1,1,0,0,124.0,3,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,9,0
12,1,0,0,0,146.0,2,2,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,9,0
77,0,0,0,0,97.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,9,1
24,0,1,0,0,123.0,2,2,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,9,1
